
step 0: train loss 10.9873, val loss 10.9915
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
iter 960: loss 6.6861, time 651.34ms, mfu 4.31%
iter 970: loss 6.6550, time 650.19ms, mfu 4.31%
iter 980: loss 6.6116, time 650.50ms, mfu 4.31%
iter 990: loss 6.9210, time 651.30ms, mfu 4.31%
step 1000: train loss 6.6471, val loss 6.6659
saving checkpoint to out
iter 1000: loss 6.0483, time 17819.87ms, mfu 3.89%
iter 1010: loss 6.6692, time 648.91ms, mfu 3.94%
iter 1020: loss 6.8195, time 647.40ms, mfu 3.98%
iter 1030: loss 7.0377, time 647.57ms, mfu 4.01%
iter 1040: loss 6.5186, time 649.77ms, mfu 4.04%
iter 1050: loss 6.6352, time 649.04ms, mfu 4.07%
iter 1060: loss 6.1932, time 649.20ms, mfu 4.09%
iter 1070: loss 6.3867, time 651.16ms, mfu 4.12%
iter 1080: loss 6.4035, time 648.85ms, mfu 4.14%
iter 1090: loss 6.6300, time 648.96ms, mfu 4.16%
iter 1100: loss 6.5422, time 650.45ms, mfu 4.17%
iter 1110: loss 6.5420, time 652.63ms, mfu 4.18%
iter 1120: loss 6.4431, time 649.80ms, mfu 4.20%
iter 1130: loss 6.8214, time 650.34ms, mfu 4.21%
iter 1140: loss 6.9125, time 649.78ms, mfu 4.22%
iter 1150: loss 6.4888, time 649.34ms, mfu 4.23%
iter 1160: loss 6.7110, time 648.84ms, mfu 4.24%
iter 1170: loss 6.7860, time 648.68ms, mfu 4.25%
iter 1180: loss 6.2265, time 650.70ms, mfu 4.25%
iter 1190: loss 6.5568, time 859.88ms, mfu 4.16%
iter 1200: loss 6.8321, time 651.42ms, mfu 4.17%
iter 1210: loss 6.5113, time 651.54ms, mfu 4.18%
