
step 0: train loss 10.9873, val loss 10.9915
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
iter 960: loss 9.3639, time 654.67ms, mfu 4.27%
iter 970: loss 9.0363, time 656.86ms, mfu 4.27%
iter 980: loss 9.2327, time 656.06ms, mfu 4.27%
iter 990: loss 9.1756, time 656.72ms, mfu 4.27%
step 1000: train loss 9.1261, val loss 9.1432
saving checkpoint to out
iter 1000: loss 8.8763, time 17702.74ms, mfu 3.86%
iter 1010: loss 9.1951, time 652.99ms, mfu 3.90%
iter 1020: loss 9.2284, time 656.56ms, mfu 3.94%
iter 1030: loss 9.2843, time 654.11ms, mfu 3.97%
iter 1040: loss 8.9855, time 655.34ms, mfu 4.00%
iter 1050: loss 9.0739, time 655.13ms, mfu 4.03%
iter 1060: loss 9.1434, time 657.47ms, mfu 4.06%
iter 1070: loss 8.9180, time 656.08ms, mfu 4.08%
iter 1080: loss 9.0539, time 658.30ms, mfu 4.10%
iter 1090: loss 8.9987, time 655.84ms, mfu 4.11%
iter 1100: loss 9.1619, time 656.77ms, mfu 4.13%
iter 1110: loss 9.0434, time 656.50ms, mfu 4.14%
iter 1120: loss 8.9893, time 657.94ms, mfu 4.16%
iter 1130: loss 8.9051, time 655.77ms, mfu 4.17%
iter 1140: loss 9.2976, time 656.94ms, mfu 4.18%
iter 1150: loss 8.8800, time 656.65ms, mfu 4.19%
iter 1160: loss 8.9884, time 657.09ms, mfu 4.20%
iter 1170: loss 9.0734, time 656.33ms, mfu 4.20%
iter 1180: loss 8.8515, time 655.54ms, mfu 4.21%
iter 1190: loss 8.9432, time 927.47ms, mfu 4.09%
iter 1200: loss 9.0674, time 656.74ms, mfu 4.11%
iter 1210: loss 8.8573, time 658.33ms, mfu 4.13%
iter 1220: loss 8.8163, time 659.40ms, mfu 4.14%
iter 1230: loss 8.9379, time 658.70ms, mfu 4.15%
iter 1240: loss 8.7791, time 658.54ms, mfu 4.16%
iter 1250: loss 8.6738, time 657.65ms, mfu 4.17%
iter 1260: loss 8.7931, time 657.34ms, mfu 4.18%
iter 1270: loss 8.8059, time 658.01ms, mfu 4.19%
iter 1280: loss 8.8679, time 656.07ms, mfu 4.20%
iter 1290: loss 8.7450, time 657.56ms, mfu 4.21%
iter 1300: loss 8.7666, time 660.27ms, mfu 4.21%
iter 1310: loss 8.7091, time 657.69ms, mfu 4.22%
iter 1320: loss 8.8254, time 658.58ms, mfu 4.22%
iter 1330: loss 8.8518, time 659.56ms, mfu 4.22%
iter 1340: loss 8.9070, time 659.19ms, mfu 4.23%
iter 1350: loss 8.7242, time 829.11ms, mfu 4.14%
iter 1360: loss 8.8203, time 657.42ms, mfu 4.15%
iter 1370: loss 8.7481, time 657.85ms, mfu 4.17%
iter 1380: loss 8.5761, time 656.61ms, mfu 4.18%
iter 1390: loss 8.9666, time 658.11ms, mfu 4.18%
iter 1400: loss 8.8277, time 655.67ms, mfu 4.19%
iter 1410: loss 8.6050, time 659.49ms, mfu 4.20%
iter 1420: loss 8.4770, time 657.46ms, mfu 4.21%
iter 1430: loss 8.7670, time 659.54ms, mfu 4.21%
iter 1440: loss 8.5392, time 656.07ms, mfu 4.22%
iter 1450: loss 8.9665, time 657.28ms, mfu 4.22%
iter 1460: loss 8.6288, time 657.10ms, mfu 4.23%
iter 1470: loss 8.7849, time 656.47ms, mfu 4.23%
iter 1480: loss 9.0025, time 659.32ms, mfu 4.23%
iter 1490: loss 8.6004, time 657.87ms, mfu 4.24%
step 1500: train loss 8.6773, val loss 8.6947
saving checkpoint to out
iter 1500: loss 8.4847, time 17497.37ms, mfu 3.83%
iter 1510: loss 8.6082, time 653.61ms, mfu 3.88%
iter 1520: loss 8.6958, time 655.09ms, mfu 3.92%
iter 1530: loss 8.4814, time 654.63ms, mfu 3.95%
iter 1540: loss 8.7070, time 655.70ms, mfu 3.99%
iter 1550: loss 8.5773, time 656.80ms, mfu 4.01%
iter 1560: loss 8.5675, time 654.15ms, mfu 4.04%
iter 1570: loss 8.8809, time 654.69ms, mfu 4.07%
iter 1580: loss 8.6804, time 655.63ms, mfu 4.09%
iter 1590: loss 8.4933, time 655.95ms, mfu 4.11%
iter 1600: loss 8.5411, time 656.08ms, mfu 4.12%
iter 1610: loss 8.6348, time 656.23ms, mfu 4.14%
iter 1620: loss 8.5645, time 656.39ms, mfu 4.15%
iter 1630: loss 8.2694, time 657.02ms, mfu 4.16%
iter 1640: loss 8.3124, time 656.31ms, mfu 4.17%
iter 1650: loss 8.6974, time 658.32ms, mfu 4.18%
iter 1660: loss 8.8425, time 656.63ms, mfu 4.19%
iter 1670: loss 8.2928, time 657.57ms, mfu 4.20%
iter 1680: loss 8.5896, time 657.11ms, mfu 4.21%
iter 1690: loss 8.9921, time 657.27ms, mfu 4.21%
iter 1700: loss 8.5904, time 657.90ms, mfu 4.22%
iter 1710: loss 8.7287, time 658.33ms, mfu 4.22%
iter 1720: loss 8.6862, time 656.24ms, mfu 4.23%
iter 1730: loss 8.3347, time 655.19ms, mfu 4.23%
iter 1740: loss 8.8241, time 659.97ms, mfu 4.23%
iter 1750: loss 8.8108, time 659.70ms, mfu 4.24%
iter 1760: loss 8.6278, time 656.68ms, mfu 4.24%
iter 1770: loss 8.7002, time 658.40ms, mfu 4.24%
iter 1780: loss 8.3947, time 656.95ms, mfu 4.25%
iter 1790: loss 8.1764, time 657.12ms, mfu 4.25%
iter 1800: loss 8.5608, time 660.58ms, mfu 4.25%
iter 1810: loss 8.4682, time 658.95ms, mfu 4.25%
iter 1820: loss 8.4350, time 658.46ms, mfu 4.25%
iter 1830: loss 8.4716, time 657.04ms, mfu 4.25%
iter 1840: loss 8.2222, time 658.07ms, mfu 4.25%
iter 1850: loss 8.5432, time 659.05ms, mfu 4.25%
iter 1860: loss 8.2801, time 656.77ms, mfu 4.26%
iter 1870: loss 8.7837, time 656.86ms, mfu 4.26%
iter 1880: loss 8.4273, time 656.52ms, mfu 4.26%
iter 1890: loss 8.5583, time 659.16ms, mfu 4.26%
iter 1900: loss 8.2824, time 657.63ms, mfu 4.26%
iter 1910: loss 8.2870, time 657.33ms, mfu 4.26%
iter 1920: loss 8.2138, time 658.82ms, mfu 4.26%
iter 1930: loss 8.2272, time 658.88ms, mfu 4.26%
iter 1940: loss 8.2990, time 657.78ms, mfu 4.26%
iter 1950: loss 8.5691, time 658.22ms, mfu 4.26%
iter 1960: loss 8.2164, time 657.78ms, mfu 4.26%
iter 1970: loss 8.9147, time 657.63ms, mfu 4.26%
iter 1980: loss 8.6620, time 657.15ms, mfu 4.26%
iter 1990: loss 8.1932, time 658.31ms, mfu 4.26%
step 2000: train loss 8.4521, val loss 8.4549
saving checkpoint to out
iter 2000: loss 8.5479, time 17511.90ms, mfu 3.85%
iter 2010: loss 8.0392, time 653.17ms, mfu 3.90%
iter 2020: loss 8.8916, time 654.44ms, mfu 3.94%
iter 2030: loss 8.4689, time 654.99ms, mfu 3.97%
iter 2040: loss 7.9974, time 654.53ms, mfu 4.00%
iter 2050: loss 8.4855, time 655.87ms, mfu 4.03%
iter 2060: loss 8.4259, time 655.30ms, mfu 4.05%
