
step 0: train loss 10.9873, val loss 10.9915
iter 1000: loss 6.8904, time 30863.12ms, mfu 2.89%
iter 1010: loss 6.6957, time 9610.18ms, mfu 2.95%
iter 1020: loss 6.3499, time 10112.74ms, mfu 2.99%
iter 1030: loss 6.7814, time 10224.85ms, mfu 3.02%
iter 1040: loss 6.9612, time 11130.90ms, mfu 3.02%
iter 1050: loss 6.7510, time 10930.39ms, mfu 3.03%
iter 1060: loss 7.4396, time 10805.24ms, mfu 3.04%
iter 1070: loss 6.7985, time 9455.81ms, mfu 3.09%
iter 1080: loss 6.5673, time 11541.72ms, mfu 3.07%
iter 1090: loss 7.2418, time 9956.96ms, mfu 3.10%
iter 1100: loss 7.1088, time 12060.45ms, mfu 3.07%
iter 1110: loss 7.0365, time 10148.01ms, mfu 3.10%
iter 1120: loss 6.4582, time 12722.28ms, mfu 3.05%
iter 1130: loss 7.1647, time 10759.32ms, mfu 3.06%
iter 1140: loss 7.0365, time 11039.00ms, mfu 3.06%
iter 1150: loss 7.1037, time 11295.54ms, mfu 3.05%
iter 1160: loss 6.9208, time 11092.40ms, mfu 3.05%
iter 1170: loss 6.7801, time 10701.46ms, mfu 3.06%
iter 1180: loss 6.5629, time 11592.36ms, mfu 3.04%
iter 1190: loss 6.4214, time 11545.57ms, mfu 3.03%
iter 1200: loss 6.2288, time 11518.81ms, mfu 3.02%
iter 1210: loss 6.5810, time 11822.63ms, mfu 3.00%
iter 1220: loss 6.6306, time 9856.72ms, mfu 3.04%
iter 1230: loss 6.1774, time 11560.50ms, mfu 3.03%
iter 1240: loss 6.2228, time 11688.73ms, mfu 3.02%
iter 1250: loss 6.6246, time 11455.41ms, mfu 3.01%
iter 1260: loss 6.6443, time 9416.94ms, mfu 3.06%
iter 1270: loss 6.9993, time 10235.12ms, mfu 3.09%
iter 1280: loss 7.0698, time 10198.32ms, mfu 3.11%
iter 1290: loss 6.6757, time 11183.33ms, mfu 3.10%
iter 1300: loss 6.6239, time 12349.12ms, mfu 3.06%
iter 1310: loss 6.8631, time 11916.31ms, mfu 3.04%
iter 1320: loss 6.6220, time 10454.16ms, mfu 3.06%
iter 1330: loss 6.8479, time 10657.74ms, mfu 3.07%
iter 1340: loss 5.9696, time 10313.50ms, mfu 3.09%
iter 1350: loss 6.2373, time 11333.26ms, mfu 3.07%
iter 1360: loss 7.0259, time 10759.44ms, mfu 3.08%
iter 1370: loss 7.0866, time 11245.41ms, mfu 3.07%
iter 1380: loss 6.7090, time 11077.43ms, mfu 3.07%
iter 1390: loss 6.9487, time 10350.88ms, mfu 3.09%
iter 1400: loss 6.6733, time 10032.26ms, mfu 3.11%
iter 1410: loss 6.4956, time 10353.81ms, mfu 3.13%
iter 1420: loss 6.7891, time 10958.02ms, mfu 3.12%
iter 1430: loss 7.9715, time 12782.20ms, mfu 3.07%
iter 1440: loss 5.4610, time 10577.50ms, mfu 3.08%
iter 1450: loss 6.3497, time 10447.61ms, mfu 3.10%
iter 1460: loss 6.7395, time 9952.29ms, mfu 3.13%
iter 1470: loss 6.5491, time 11049.98ms, mfu 3.12%
iter 1480: loss 6.9334, time 10501.19ms, mfu 3.13%
iter 1490: loss 6.5269, time 10471.40ms, mfu 3.14%
step 1500: train loss 6.5736, val loss 6.5783
saving checkpoint to out
iter 1500: loss 6.7362, time 31667.94ms, mfu 2.93%
iter 1510: loss 6.6100, time 10747.72ms, mfu 2.95%
iter 1520: loss 6.6433, time 9478.59ms, mfu 3.01%
iter 1530: loss 6.5501, time 9585.37ms, mfu 3.06%
iter 1540: loss 6.9848, time 10832.03ms, mfu 3.06%
iter 1550: loss 5.7124, time 10612.48ms, mfu 3.08%
iter 1560: loss 6.9456, time 10676.99ms, mfu 3.08%
iter 1570: loss 6.4651, time 9605.53ms, mfu 3.13%
iter 1580: loss 6.8727, time 10190.30ms, mfu 3.14%
iter 1590: loss 6.1873, time 11198.86ms, mfu 3.13%
iter 1600: loss 6.4420, time 11927.61ms, mfu 3.10%
iter 1610: loss 5.9552, time 10354.60ms, mfu 3.11%
iter 1620: loss 6.6554, time 10248.18ms, mfu 3.13%
iter 1630: loss 5.9962, time 12497.65ms, mfu 3.09%
iter 1640: loss 6.4179, time 11731.86ms, mfu 3.07%
iter 1650: loss 6.4131, time 9574.46ms, mfu 3.11%
iter 1660: loss 7.1920, time 11456.41ms, mfu 3.09%
iter 1670: loss 6.4220, time 9653.68ms, mfu 3.13%
iter 1680: loss 6.6247, time 10813.16ms, mfu 3.13%
iter 1690: loss 6.8029, time 10238.14ms, mfu 3.15%
iter 1700: loss 6.8228, time 9401.88ms, mfu 3.19%
iter 1710: loss 6.4428, time 10381.98ms, mfu 3.20%
iter 1720: loss 6.5095, time 9648.83ms, mfu 3.22%
iter 1730: loss 6.8868, time 10058.28ms, mfu 3.24%
iter 1740: loss 6.6964, time 9838.16ms, mfu 3.26%
iter 1750: loss 5.7942, time 11949.00ms, mfu 3.21%
iter 1760: loss 6.6271, time 11051.64ms, mfu 3.19%
iter 1770: loss 6.3784, time 9723.03ms, mfu 3.22%
iter 1780: loss 6.7086, time 9780.04ms, mfu 3.24%
iter 1790: loss 6.7192, time 10641.16ms, mfu 3.24%
iter 1800: loss 6.3110, time 10355.43ms, mfu 3.24%
iter 1810: loss 6.3461, time 10911.61ms, mfu 3.22%
iter 1820: loss 6.3345, time 10190.71ms, mfu 3.23%
iter 1830: loss 6.5508, time 9837.43ms, mfu 3.25%
iter 1840: loss 6.4759, time 9715.67ms, mfu 3.27%
iter 1850: loss 6.6569, time 9493.84ms, mfu 3.30%
iter 1860: loss 6.6931, time 10748.27ms, mfu 3.28%
iter 1870: loss 6.3378, time 10218.50ms, mfu 3.28%
iter 1880: loss 6.8446, time 9445.01ms, mfu 3.31%
iter 1890: loss 6.6414, time 10964.80ms, mfu 3.29%
iter 1900: loss 6.9300, time 10437.63ms, mfu 3.28%
iter 1910: loss 6.6569, time 10977.22ms, mfu 3.26%
iter 1920: loss 5.8903, time 10226.34ms, mfu 3.26%
iter 1930: loss 6.1164, time 10427.53ms, mfu 3.26%
iter 1940: loss 6.3446, time 10723.30ms, mfu 3.25%
iter 1950: loss 6.7104, time 10235.32ms, mfu 3.25%
iter 1960: loss 6.4781, time 10451.41ms, mfu 3.25%
iter 1970: loss 6.3086, time 10185.93ms, mfu 3.25%
iter 1980: loss 6.4653, time 11203.11ms, mfu 3.23%
iter 1990: loss 6.1780, time 10337.11ms, mfu 3.23%
step 2000: train loss 6.4172, val loss 6.4330
saving checkpoint to out
iter 2000: loss 6.1776, time 30009.22ms, mfu 3.02%
iter 2010: loss 6.2114, time 10359.86ms, mfu 3.04%
iter 2020: loss 6.7300, time 10564.02ms, mfu 3.06%
iter 2030: loss 6.8804, time 10077.98ms, mfu 3.09%
iter 2040: loss 7.2170, time 11107.58ms, mfu 3.08%
iter 2050: loss 6.2409, time 10913.48ms, mfu 3.08%
iter 2060: loss 6.3377, time 11626.03ms, mfu 3.06%
iter 2070: loss 6.5722, time 10836.28ms, mfu 3.07%
iter 2080: loss 6.4076, time 9942.40ms, mfu 3.10%
iter 2090: loss 6.4926, time 10027.44ms, mfu 3.12%
iter 2100: loss 6.5858, time 10859.83ms, mfu 3.12%
iter 2110: loss 6.6734, time 10174.76ms, mfu 3.14%
iter 2120: loss 6.0768, time 11056.37ms, mfu 3.13%
iter 2130: loss 6.6191, time 10616.21ms, mfu 3.14%
iter 2140: loss 6.5944, time 12611.16ms, mfu 3.09%
iter 2150: loss 6.7082, time 11620.06ms, mfu 3.07%
iter 2160: loss 6.1547, time 12141.54ms, mfu 3.04%
iter 2170: loss 6.0392, time 10067.64ms, mfu 3.07%
iter 2180: loss 6.2112, time 11487.59ms, mfu 3.06%
iter 2190: loss 6.5549, time 12103.09ms, mfu 3.03%
iter 2200: loss 5.8890, time 10639.00ms, mfu 3.04%
iter 2210: loss 6.3453, time 10506.98ms, mfu 3.06%
iter 2220: loss 5.8966, time 11269.40ms, mfu 3.05%
iter 2230: loss 5.7559, time 9962.61ms, mfu 3.08%
iter 2240: loss 6.2763, time 10274.02ms, mfu 3.10%
iter 2250: loss 6.8647, time 9580.18ms, mfu 3.14%
iter 2260: loss 6.2199, time 12402.95ms, mfu 3.10%
iter 2270: loss 6.6890, time 12704.96ms, mfu 3.06%
iter 2280: loss 6.8285, time 10194.48ms, mfu 3.08%
iter 2290: loss 6.0146, time 11492.10ms, mfu 3.07%
iter 2300: loss 6.4727, time 10881.29ms, mfu 3.07%
iter 2310: loss 6.0637, time 11127.77ms, mfu 3.06%
iter 2320: loss 6.4006, time 9911.09ms, mfu 3.10%
iter 2330: loss 6.2916, time 10623.26ms, mfu 3.10%
iter 2340: loss 6.8477, time 10431.27ms, mfu 3.12%
iter 2350: loss 6.2450, time 10515.21ms, mfu 3.13%
iter 2360: loss 6.3669, time 10006.45ms, mfu 3.15%
iter 2370: loss 5.9139, time 11237.11ms, mfu 3.13%
iter 2380: loss 6.1261, time 12590.08ms, mfu 3.09%
iter 2390: loss 6.2724, time 13505.98ms, mfu 3.03%
iter 2400: loss 6.2389, time 11909.14ms, mfu 3.01%
iter 2410: loss 6.4229, time 9722.45ms, mfu 3.05%
iter 2420: loss 6.6259, time 11621.95ms, mfu 3.04%
iter 2430: loss 5.8687, time 11000.74ms, mfu 3.04%
iter 2440: loss 6.8505, time 11488.84ms, mfu 3.03%
iter 2450: loss 5.9903, time 11137.16ms, mfu 3.03%
iter 2460: loss 7.3843, time 9089.25ms, mfu 3.10%
iter 2470: loss 6.0743, time 11417.47ms, mfu 3.08%
iter 2480: loss 6.0724, time 10343.18ms, mfu 3.10%
iter 2490: loss 6.4016, time 10447.06ms, mfu 3.11%
step 2500: train loss 6.3006, val loss 6.2732
saving checkpoint to out
iter 2500: loss 6.3484, time 29583.45ms, mfu 2.91%
iter 2510: loss 6.3421, time 10821.00ms, mfu 2.93%
iter 2520: loss 5.9159, time 9792.97ms, mfu 2.98%
iter 2530: loss 6.3678, time 11208.84ms, mfu 2.99%
iter 2540: loss 6.1990, time 11476.91ms, mfu 2.98%
iter 2550: loss 6.2018, time 11722.02ms, mfu 2.97%
iter 2560: loss 6.0399, time 10602.76ms, mfu 2.99%
iter 2570: loss 6.0643, time 9587.68ms, mfu 3.04%
iter 2580: loss 5.9098, time 10733.29ms, mfu 3.05%
iter 2590: loss 6.5688, time 9868.53ms, mfu 3.09%
iter 2600: loss 6.2857, time 11560.67ms, mfu 3.07%
iter 2610: loss 6.7269, time 12457.83ms, mfu 3.03%
iter 2620: loss 6.3649, time 9664.57ms, mfu 3.08%
iter 2630: loss 6.3660, time 10956.20ms, mfu 3.08%
iter 2640: loss 5.9538, time 11492.96ms, mfu 3.06%
iter 2650: loss 6.2357, time 12429.43ms, mfu 3.03%
iter 2660: loss 5.8383, time 10238.08ms, mfu 3.05%
iter 2670: loss 6.2098, time 10232.91ms, mfu 3.08%
iter 2680: loss 5.9965, time 11938.33ms, mfu 3.05%
iter 2690: loss 6.4995, time 9969.25ms, mfu 3.08%
iter 2700: loss 5.6660, time 10523.55ms, mfu 3.10%
iter 2710: loss 5.5159, time 10972.38ms, mfu 3.09%
iter 2720: loss 6.1801, time 11643.19ms, mfu 3.07%
iter 2730: loss 6.6074, time 12148.55ms, mfu 3.04%
iter 2740: loss 5.0187, time 10815.76ms, mfu 3.05%
iter 2750: loss 5.8244, time 11279.64ms, mfu 3.04%
iter 2760: loss 6.1851, time 9968.82ms, mfu 3.08%
iter 2770: loss 5.7948, time 12011.18ms, mfu 3.05%
iter 2780: loss 6.6714, time 12759.37ms, mfu 3.01%
iter 2790: loss 6.2307, time 10527.75ms, mfu 3.03%
iter 2800: loss 5.8761, time 10302.78ms, mfu 3.05%
iter 2810: loss 6.2789, time 8789.40ms, mfu 3.13%
iter 2820: loss 5.9703, time 10346.88ms, mfu 3.14%
iter 2830: loss 6.4135, time 10290.49ms, mfu 3.15%
iter 2840: loss 6.5753, time 10934.65ms, mfu 3.15%
iter 2850: loss 6.7810, time 10350.06ms, mfu 3.16%
iter 2860: loss 6.3236, time 10484.45ms, mfu 3.16%
iter 2870: loss 6.3914, time 10804.40ms, mfu 3.16%
iter 2880: loss 6.3593, time 10116.99ms, mfu 3.18%
iter 2890: loss 6.0758, time 11007.06ms, mfu 3.16%
iter 2900: loss 6.0592, time 9756.91ms, mfu 3.19%
iter 2910: loss 6.4901, time 9458.17ms, mfu 3.23%
iter 2920: loss 5.9186, time 10693.94ms, mfu 3.22%
iter 2930: loss 6.6382, time 10394.31ms, mfu 3.22%
iter 2940: loss 6.1161, time 9866.81ms, mfu 3.24%
iter 2950: loss 6.1517, time 15578.06ms, mfu 3.13%
iter 2960: loss 6.2001, time 11574.62ms, mfu 3.11%
iter 2970: loss 6.3260, time 13939.02ms, mfu 3.04%
