2023-08-23 10:20:01 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f48dc1a97c0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-24 11:57:33 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8022ffaca0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-24 11:59:44 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8020783640>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-24 12:01:56 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8022fe95e0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-24 12:06:18 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8022fe9d90>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-24 12:08:29 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8022fe9f70>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-24 12:10:40 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f803a0e57c0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 06:46:35 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f1e50287ee0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 06:48:46 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f1e50287070>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 06:50:57 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f1e50287700>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 06:55:19 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f1e50287220>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 06:57:34 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f1e50287f10>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 06:59:49 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f1e50337430>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 08:42:24 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e9efed190>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 08:44:39 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e9efd3be0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 08:46:50 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e9efd3d60>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 08:51:12 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e9efdd9d0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 08:53:27 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e9efdda60>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 08:55:38 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e9efdd460>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 09:27:11 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f4510040d00>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 09:29:22 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f45100c8d00>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 09:31:33 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f45100c8a60>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 09:35:55 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f4510040850>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 09:38:06 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f4510040280>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-28 09:40:17 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f4510137ac0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-08 13:34:48 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fbe6078f820>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-08 13:36:59 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fbe607593d0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-08 13:39:10 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fbe80029700>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-08 13:43:32 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fbe80029e80>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-08 13:45:43 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fbe800297c0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-08 13:47:54 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fbe80029580>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-14 06:54:50 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fccb00aa040>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-14 06:57:01 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fccb0064d90>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-14 06:59:12 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fccb0064bb0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-14 07:03:34 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fcca07f4340>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-14 07:05:45 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fcca07f4520>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-14 07:07:57 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fcca07f4d30>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-14 14:11:54 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7d94579d60>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-14 14:14:05 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7d94579ee0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-14 14:16:20 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7d94579af0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-14 14:20:46 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7d95ea9e80>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-14 14:20:48 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8a005ded90>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-14 14:22:57 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7d9452edf0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-14 14:22:59 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8a0064d5b0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:12:59 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff1ec226c70>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:20:48 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0adc409dc0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:22:59 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0adc409ee0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:25:10 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0adc409bb0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:25:37 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa8c3f5fdf0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:27:48 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa8c3f5fc70>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:29:33 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0adc42ca60>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:29:59 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa8c067de20>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:31:44 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0adc42c5b0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:33:55 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0adc42caf0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:33:59 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7c90ee2eb0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:34:21 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa8c067d940>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:36:10 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7c93fc8f70>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:36:32 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa8c067d7f0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:38:21 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7c93fc8dc0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:38:44 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa8c067d760>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:40:32 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f9f7458ef40>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:42:43 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f9f75ea6190>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:42:43 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7c9066f730>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:52:43 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f78486b9070>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:54:50 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f273860dd30>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:54:54 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7849ef87f0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:57:01 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f27385848b0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:57:05 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7849ef8d90>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 12:59:12 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f273860dca0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 13:01:27 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f78486301c0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 13:01:44 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdd4ff98610>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 13:03:39 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7849f03130>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 13:03:39 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2738600fd0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 13:03:55 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdd4ff98070>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 13:04:11 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff8b2cd1dc0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 13:05:50 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f27386006d0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-09-15 13:05:50 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f78485ebdf0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
